Time (s),Frequency (Hz),Intensity (dB)
0.06918918918918919,1264.6484375,-313.0712
0.06918918918918919,1271.875,-313.0712
0.06918918918918919,1279.1015625,-313.0712
0.06918918918918919,1286.328125,-313.0712
0.06918918918918919,1293.5546875,-313.0712
0.06918918918918919,1300.78125,-313.0712
0.06918918918918919,1308.0078125,-313.0712
0.06918918918918919,1315.234375,-313.0712
0.06918918918918919,1322.4609375,-313.0712
0.06918918918918919,1329.6875,-313.0712
0.06918918918918919,1336.9140625,-313.0712
0.06918918918918919,1344.140625,-313.0712
0.06918918918918919,1351.3671875,-313.0712
0.06918918918918919,1358.59375,-313.0712
0.06918918918918919,1365.8203125,-313.0712
0.06918918918918919,1373.046875,-313.0712
0.06918918918918919,1380.2734375,-313.0712
0.06918918918918919,1387.5,-313.0712
0.06918918918918919,1394.7265625,-313.0712
0.06918918918918919,1401.953125,-313.0712
0.06918918918918919,1409.1796875,-313.0712
0.06918918918918919,1416.40625,-313.0712
0.06918918918918919,1423.6328125,-313.0712
0.06918918918918919,1430.859375,-313.0712
0.06918918918918919,1438.0859375,-313.0712
0.06918918918918919,1445.3125,-313.0712
0.06918918918918919,1452.5390625,-313.0712
0.06918918918918919,1459.765625,-313.0712
0.06918918918918919,1466.9921875,-313.0712
0.06918918918918919,1474.21875,-313.0712
0.06918918918918919,1481.4453125,-313.0712
0.06918918918918919,1488.671875,-313.0712
0.06918918918918919,1495.8984375,-313.0712
0.06918918918918919,1503.125,-313.0712
0.06918918918918919,1510.3515625,-313.0712
0.06918918918918919,1517.578125,-313.0712
0.06918918918918919,1524.8046875,-313.0712
0.06918918918918919,1532.03125,-313.0712
0.06918918918918919,1539.2578125,-313.0712
0.06918918918918919,1546.484375,-313.0712
0.06918918918918919,1553.7109375,-313.0712
0.06918918918918919,1560.9375,-313.0712
0.06918918918918919,1568.1640625,-313.0712
0.06918918918918919,1575.390625,-313.0712
0.06918918918918919,1582.6171875,-313.0712
0.06918918918918919,1589.84375,-313.0712
0.06918918918918919,1597.0703125,-313.0712
0.06918918918918919,1604.296875,-313.0712
0.06918918918918919,1611.5234375,-313.0712
0.06918918918918919,1618.75,-313.0712
0.06918918918918919,1625.9765625,-313.0712
0.06918918918918919,1633.203125,-313.0712
0.06918918918918919,1640.4296875,-313.0712
0.06918918918918919,1647.65625,-313.0712
0.06918918918918919,1654.8828125,-313.0712
0.06918918918918919,1662.109375,-313.0712
0.06918918918918919,1669.3359375,-313.0712
0.06918918918918919,1676.5625,-313.0712
0.06918918918918919,1683.7890625,-313.0712
0.06918918918918919,1691.015625,-313.0712
0.06918918918918919,1698.2421875,-313.0712
0.06918918918918919,1705.46875,-313.0712
0.06918918918918919,1712.6953125,-313.0712
0.06918918918918919,1719.921875,-313.0712
0.06918918918918919,1727.1484375,-313.0712
0.06918918918918919,1734.375,-313.0712
0.06918918918918919,1741.6015625,-313.0712
0.06918918918918919,1748.828125,-313.0712
0.06918918918918919,1756.0546875,-313.0712
0.06918918918918919,1763.28125,-313.0712
0.06918918918918919,1770.5078125,-313.0712
0.06918918918918919,1777.734375,-313.0712
0.06918918918918919,1784.9609375,-313.0712
0.06918918918918919,1792.1875,-313.0712
0.06918918918918919,1799.4140625,-313.0712
0.06918918918918919,1806.640625,-313.0712
0.06918918918918919,1813.8671875,-313.0712
0.06918918918918919,1821.09375,-313.0712
0.06918918918918919,1828.3203125,-313.0712
0.06918918918918919,1835.546875,-313.0712
0.06918918918918919,1842.7734375,-313.0712
0.06918918918918919,1850.0,-313.0712
0.13837837837837838,0.0,-313.0712
0.13837837837837838,7.2265625,-313.0712
0.13837837837837838,14.453125,-313.0712
0.13837837837837838,21.6796875,-313.0712
0.13837837837837838,28.90625,-313.0712
0.13837837837837838,36.1328125,-313.0712
0.13837837837837838,43.359375,-313.0712
0.13837837837837838,50.5859375,-313.0712
0.13837837837837838,57.8125,-313.0712
0.13837837837837838,65.0390625,-313.0712
0.13837837837837838,72.265625,-313.0712
0.13837837837837838,79.4921875,-313.0712
